Id,IngestType,IngestionSequence,DataProvider,OriginalRecord,isShownAt,Object
64c1ab368200d176ef3eb3f7430ef2f4,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/64c1ab368200d176ef3eb3f7430ef2f4.json,https://www.loc.gov/item/75694986/,http://cdn.loc.gov/service/gmd/gmd382/g3824/g3824h/pm007880.gif,"Bird's-eye-view. LC Panoramic maps (2nd ed.), 788 Available also through the Library of Congress Web site as a raster image. Includes col. illus. AACR2: 651/1; 710/1"
5e30c4d482c2b045bb0626be23ac70d6,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/5e30c4d482c2b045bb0626be23ac70d6.json,https://www.loc.gov/item/75693164/,http://cdn.loc.gov/service/gmd/gmd378/g3784/g3784t/pm000980.gif,"Perspective map not drawn to scale. LC Panoramic maps (2nd ed.), 98 Available also through the Library of Congress Web site as a raster image. Includes illus., text, and directory. AACR2"
e6d9b692dc9a0da3a796e54610b6933e,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/e6d9b692dc9a0da3a796e54610b6933e.json,https://www.loc.gov/item/75696609/,http://cdn.loc.gov/service/gmd/gmd434/g4344/g4344o/pm009250.gif,"LC Panoramic maps (2nd ed.), 926 Available also through the Library of Congress Web site as a raster image. LC copy imperfect: Left portion missing. AACR2: 651/1"
bad2a76dc717b35d493d581289c94d14,item,999999,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA dcu http://hdl.loc.gov/loc.pnp/pp.print",http://ldp.staging.dp.la/ldp/original_record/bad2a76dc717b35d493d581289c94d14.json,https://www.loc.gov/item/98509722/,http://cdn.loc.gov/service/gmd/gmd414/g4144/g4144m/pm003941.gif,"Bird's-eye view of Minneapolis, Minnesota, seen from the west, with prominent features identified below image. The roof of Macalester College dominates the foreground. The original Hennepin Avenue bridge spans the Mississippi River."
6f67efab534eca8bee645ac54f64f26a,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/6f67efab534eca8bee645ac54f64f26a.json,https://www.loc.gov/item/2005630922/,http://cdn.loc.gov/service/gmd/gmd388/g3880/g3880/cw0465350.gif,"Shows railroads and radial distances from Richmond. Also covers parts of Maryland, Delaware, Pennsylvania, and New Jersey. Relief shown by hachures. Inscribed in pencil inside front cover: Geo. W. Lay to Genl. Beauregard. LC Civil War Maps (2nd ed.), 465.35 LC copy imperfect: Worm holes on left side of map. Available also through the Library of Congress web site as raster image."
1da24e45c895172fc4bbce6d09e0b198,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/1da24e45c895172fc4bbce6d09e0b198.json,https://www.loc.gov/item/77693545/,http://cdn.loc.gov/service/gmd/gmd374/g3744/g3744p/pm020533.gif,Perspective map not drawn to scale. Indexed for points of interest. Available also through the Library of Congress Web site as a raster image. AACR2: 100; 651/1; 700/1
a121011894a94c39de3a73618036e859,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/a121011894a94c39de3a73618036e859.json,https://www.loc.gov/item/73691634/,http://cdn.loc.gov/service/gmd/gmd390/g3901/g3901f/ar139700.gif,[1777?]
4cd4654ed44f318b04b9774896456582,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/4cd4654ed44f318b04b9774896456582.json,https://www.loc.gov/item/gm70004800/,http://cdn.loc.gov/service/gmd/gmd371/g3711/g3711p/cw0033000.gif,"Scale ca. 1:3,600,000. Shows canals and navigation routes in northeastern United States and southeastern Canada. Available also through the Library of Congress Web site as a raster image. LC Civil War maps (2nd ed.) 33 Includes distance chart. AACR2"
edf7e49e22f0b6214ed78449f1fb430f,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/edf7e49e22f0b6214ed78449f1fb430f.json,https://www.loc.gov/item/75694956/,http://cdn.loc.gov/service/gmd/gmd382/g3824/g3824c/pm007520.gif,"Morrisville, Pa., T. M. Fowler & James B. Moyer [1896]"
2d59a944c4a3badd6d6bc8036e0c9b5b,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/2d59a944c4a3badd6d6bc8036e0c9b5b.json,https://www.loc.gov/item/75693433/,http://cdn.loc.gov/service/gmd/gmd373/g3732/g3732c/ar085900.gif,"London, 1776?]"
bcaca304ea87ed29189aadb5ea6ede42,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/bcaca304ea87ed29189aadb5ea6ede42.json,https://www.loc.gov/item/2005625004/,http://cdn.loc.gov/service/gmd/gmd389/g3894/g3894h/cwh00079.gif,[1861]
a19c2a435db2f8f674ca325fec8310f9,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/a19c2a435db2f8f674ca325fec8310f9.json,https://www.loc.gov/item/75696723/,http://cdn.loc.gov/service/gmd/gmd412/g4124/g4124s/pm010600.gif,"Perspective map not drawn to scale. Bird's-eye-view. LC Panoramic maps (2nd ed.), 1060 Available also through the Library of Congress Web site as a raster image. AACR2: 100; 651/1; 651/2"
1998cb45fc2778a9422a444fe4151c78,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/1998cb45fc2778a9422a444fe4151c78.json,https://www.loc.gov/item/86691336/,http://cdn.loc.gov/service/gmd/gmd401/g4011/g4011s/cw0231500.gif,
3c6a2985df5907b4aa7fb5e68dd1b53b,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/3c6a2985df5907b4aa7fb5e68dd1b53b.json,https://www.loc.gov/item/73693422/,http://cdn.loc.gov/service/gmd/gmd411/g4114/g4114b/pm003360.gif,"Perspective map not drawn to scale. LC Panoramic maps (2nd ed.), 336 Available also through the Library of Congress Web site as a raster image. Vault AACR2: 100; 651/1"
6815ebb14ebcb376d8e2820e0603d81d,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/6815ebb14ebcb376d8e2820e0603d81d.json,https://www.loc.gov/item/75694692/,http://cdn.loc.gov/service/gmd/gmd374/g3744/g3744l/pm004850.gif,"Brockton, Mass., Poole & Norris [1883]"
ceffc87a0dbde33ea3bfc0dc40d223b2,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/ceffc87a0dbde33ea3bfc0dc40d223b2.json,https://www.loc.gov/item/74692204/,http://cdn.loc.gov/service/gmd/gmd380/g3804/g3804n/ar110401.gif,"[London, 1766]"
1750b74328ab4f4796c6f10c666f2920,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/1750b74328ab4f4796c6f10c666f2920.json,https://www.loc.gov/item/75694589/,http://cdn.loc.gov/service/gmd/gmd376/g3764/g3764m/pm003090.gif,"Perspective map not drawn to scale. Bird's-eye-view. LC Panoramic maps (2nd ed.), 309 Available also through the Library of Congress Web site as a raster image. Includes illus. and index to points of interest. AACR2"
3027d40760cef95d0553f143853a0e0e,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/3027d40760cef95d0553f143853a0e0e.json,https://www.loc.gov/item/99448521/,http://cdn.loc.gov/service/gmd/gmd398/g3984/g3984v/cw0291100.gif,"Scale ca. 1:62,000. LC Civil War Maps (2nd ed.), 291.1 Descriptive leaflet illustrated with the following two maps: [a] Vicksburg National Military Park, Mississippi. Colored. Scale ca. 1:14,400. 11 x 22 cm. (Shows names of commander roads, railroad, and tour route.) [b] The Vicksburg campaign. Aug. 1962. Colored. Scale ca. 1:2,350,000. 40 x 23 cm. (Map of the Mississippi River from Memphis to the Gulf of Mexico showing drainage, railroads, and towns.) Description derived from published bibliography. Available also through the Library of Congress web site as raster image."
035025fca021c0ed70bf62ee404c877c,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/035025fca021c0ed70bf62ee404c877c.json,https://www.loc.gov/item/gm71005331/,http://cdn.loc.gov/service/gmd/gmd382/g3824/g3824a/pm007300.gif,"[Brooklyn, N.Y.?] : Hughes & Fowler, c1922."
95b6e4b6a7d5239d46765f4acc9facea,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/95b6e4b6a7d5239d46765f4acc9facea.json,https://www.loc.gov/item/79696025/,http://cdn.loc.gov/service/gmd/gmd388/g3880/g3880/cw0481500.gif,"Scale ca. 1:875,000. Relief shown by hachures. Also covers Maryland, and southeastern Pennsylvania. Shows radial distances from Richmond and Washington, D.C. LC Civil War maps (2nd ed.) 481.5 Available also through the Library of Congress Web site as a raster image. From the papers of Joseph Roswell Hawley. In right lower corner: August. AACR2"
adb7c0f0f4aa0cd8832cc7b03d11cb3b,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/adb7c0f0f4aa0cd8832cc7b03d11cb3b.json,https://www.loc.gov/item/80695175/,http://cdn.loc.gov/service/gmd/gmd380/g3804/g3804g/pm005681.gif,"Perspective map not drawn to scale. Oriented with north toward the upper left. LC Panoramic maps (2nd ed.), 568.1 Available also through the Library of Congress Web site as a raster image. Includes text, list of village and town officers, business directory, location map, and ill. AACR2: 651"
28eb49249d3f9591f100695a5a1d5173,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/28eb49249d3f9591f100695a5a1d5173.json,https://www.loc.gov/item/97681779/,http://cdn.loc.gov/service/gmd/gmd379/g3791/g3791s/cw1044000.gif,"New York : John Bachmann, Publisher ; Balto. [i.e. Baltimore] : Jas. S. Waters [distributor, 1861]"
50dc4cb4df28002bd68b472b6c632f10,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/50dc4cb4df28002bd68b472b6c632f10.json,https://www.loc.gov/item/73694932/,http://cdn.loc.gov/service/gmd/gmd3/g3300/g3300/ar007200.gif,"Scale ca. 1:5,000,000. Hand colored. Relief shown pictorially and by hachures. LC Maps of North America, 1750-1789, 72 Appears in Homann Erben's Atlas Compendiarivs (1757 [i.e. 1757]) Includes text. Available also through the Library of Congress Web site as a raster image. Vault AACR2: 651/1; 651/2; 651/3; 651/4; 650/5"
005a48cac5472a5697f203b7f01680e2,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/005a48cac5472a5697f203b7f01680e2.json,https://www.loc.gov/item/73693416/,http://cdn.loc.gov/service/gmd/gmd395/g3954/g3954l/pm002360.gif,"Perspective map not drawn to scale. LC Panoramic maps (2nd ed.), 236 Available also through the Library of Congress Web site as a raster image. Indexed for points of interest. Vault AACR2: 100; 651/1; 710/1; 710/2"
d644f46b35338780b82e1674f61f0da0,item,999999,"Library of Congress Geography and Map Division W ashington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/d644f46b35338780b82e1674f61f0da0.json,https://www.loc.gov/item/2013593291/,http://cdn.loc.gov/service/gmd/gmd390/g3900/g3900/ar139000.gif,"Shows the boundaries of each of the above provinces extend from the Atlantic coast to the Mississippi River. Also shows towns along the coast, Indian villages and tribal territory, forts principal rivers, and relief. Relief shown by hachures. From The London magazine or Gentleman's monthly intelligencer. (April, 1765), vol. 34. Prime meridian: London. LC Maps of North America, 1750-1789, 1390 Available also through the Library of Congress Web site as a raster image. LC copy imperfect: Torn and detached in upper right corner."
efe4e53bd1a488b878f4be219faa177a,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/efe4e53bd1a488b878f4be219faa177a.json,https://www.loc.gov/item/74693282/,http://cdn.loc.gov/service/gmd/gmd4/g4390/g4390/ar168200.gif,"[London, 1752]"
bb1305cb1a4953b6528f2d8fa6b5af33,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/bb1305cb1a4953b6528f2d8fa6b5af33.json,https://www.loc.gov/item/99446359/,http://cdn.loc.gov/service/gmd/gmd388/g3884/g3884r/cw0632300.gif,"New York, Washington, Charles Magnus, [186-]"
01aef5273caff27a3b7209d8d739c052,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/01aef5273caff27a3b7209d8d739c052.json,https://www.loc.gov/item/73694538/,http://cdn.loc.gov/service/gmd/gmd412/g4124/g4124c/pm010280.gif,"Perspective map not drawn to scale. LC Panoramic maps (2nd ed.), 1028 Available also through the Library of Congress Web site as a raster image. Indexed for points of interest. Vault AACR2: 100; 651/1; 710/1"
8b0553812022c87657a5e538ef33200f,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/8b0553812022c87657a5e538ef33200f.json,https://www.loc.gov/item/75694713/,http://cdn.loc.gov/service/gmd/gmd381/g3814/g3814o/pm005020.gif,"Perspective map not drawn to scale. LC Panoramic maps (2nd ed.), 502 Available also through the Library of Congress Web site as a raster image. Includes illus. and index to points of interest. AACR2"
82d5da56c02592b0ee7357559ba5ea4d,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/82d5da56c02592b0ee7357559ba5ea4d.json,https://www.loc.gov/item/2010588786/,http://cdn.loc.gov/service/gmd/gmd380/g3804/g3804n/pm020400.gif,"Aerial view to horizon. Existing buildings and residences shown pictorially. Relief shown by landform drawings. Contains cadastral map of National Prohibition Park residential subdivision showing new streets, trees, lot lines, and lot numbers. Oriented with north toward the upper right. Available also through the Library of Congress Web site as a raster image. LC copy imperfect: Use-worn, darkened, fold-lined, torn in margins and at fold lines, small sections of margin missing. Includes notes, location map (inset aerial view), directory of company officers' names, and ill. of principal buildings. PM3 Acquisitions control no.: 2006-151"
4323d04017a743852cb750f2a07ba609,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/4323d04017a743852cb750f2a07ba609.json,https://www.loc.gov/item/74692178/,http://cdn.loc.gov/service/gmd/gmd4/g4940/g4940/ar186900.gif,[1776?]
5f0b9c316bc42b38eb76a96ca2b821d9,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/5f0b9c316bc42b38eb76a96ca2b821d9.json,https://www.loc.gov/item/2005625065/,http://cdn.loc.gov/service/gmd/gmd388/g3884/g3884f/cwh00158.gif,"Relief shown by hachures. Pen-and-ink and pencil (some col.), mounted on cloth. LC Civil War maps (2nd ed.), H158 Available also through the Library of Congress web site as raster image. In pencil on verso: 131."
eca87643906c2b9915e6bb3106541ee3,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/eca87643906c2b9915e6bb3106541ee3.json,https://www.loc.gov/item/84697244/,http://cdn.loc.gov/service/gmd/gmd373/g3734/g3734m/pm002465.gif,"Bird's-eye view. Available also through the Library of Congress Web site as a raster image. Includes inset of ""The east of Court St."" and index to points of interest. Vault Acquisitions control no. 35-84 PM3"
cec2bc55ba408ec7414b2bf59802823f,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/cec2bc55ba408ec7414b2bf59802823f.json,https://www.loc.gov/item/73694522/,http://cdn.loc.gov/service/gmd/gmd382/g3824/g3824c/pm007580.gif,"Madison, Wis., Ruger & Stoner [1870]"
d4424e9f50e0bd88ee347154b4d4e7e7,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/d4424e9f50e0bd88ee347154b4d4e7e7.json,https://www.loc.gov/item/99447415/,http://cdn.loc.gov/service/gmd/gmd404/g4042/g4042m/cw0271200.gif,"[S.l.], 1863."
98fb260e9f8a6f178d2f4caa22a8559b,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/98fb260e9f8a6f178d2f4caa22a8559b.json,https://www.loc.gov/item/74695904/,http://cdn.loc.gov/service/gmd/gmd4/g4922/g4922c/lh000320.gif,[1783]
c046c953cc700af850ef5a8a686988fb,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/c046c953cc700af850ef5a8a686988fb.json,https://www.loc.gov/item/75693276/,http://cdn.loc.gov/service/gmd/gmd3/g3300/g3300/ar008600.gif,"Scale ca. 1:8,000,000. Hand colored. Relief shown pictorially. Shows Caribbean region. ""From: Geographischer Atlas. Berlin, bey Johann Michael Kunst. [1745-1772?]"" Ownership seal stamped on. LC Maps of North America, 1750-1789, 86 Includes inset of Hudson Bay [ca. 16,000,000] Available also through the Library of Congress Web site as a raster image. Vault AACR2: 100; 651/1"
8845582e44042e9b18cd9dd6abcc142f,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/8845582e44042e9b18cd9dd6abcc142f.json,https://www.loc.gov/item/gm71002178/,http://cdn.loc.gov/service/gmd/gmd388/g3884/g3884y/ar146900.gif,[1781]
0ec03e32adb063e7b5ce79481b81d701,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/0ec03e32adb063e7b5ce79481b81d701.json,https://www.loc.gov/item/00555648/,http://cdn.loc.gov/service/gmd/gmd377/g3772/g3772n/ar300400.gif,[1778]
f9824f4157b1c396f1fbf48490cadcad,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/f9824f4157b1c396f1fbf48490cadcad.json,https://www.loc.gov/item/74693203/,http://cdn.loc.gov/service/gmd/gmd3/g3300/g3300/ar019400.gif,"Scale ca. 1:7,000,000. Relief shown pictorially. ""Delineated & engraved for Morses Geography."" Available also through the Library of Congress Web site as a raster image. Vault AACR2"
9eb35be2c332c1efc71a3c58e131c39e,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/9eb35be2c332c1efc71a3c58e131c39e.json,https://www.loc.gov/item/2005625069/,http://cdn.loc.gov/service/gmd/gmd382/g3824/g3824g/cwh00162.gif,"Shows troop movements and names of some residents. Relief shown by hachures. Title and scale from Stephenson's Civil War maps, 1989. Pen-and-ink and pencil (some col.), mounted on cloth. LC Civil War maps (2nd ed.), H162 Available also through the Library of Congress web site as raster image. Includes names of Confederate divisions and corps. In pencil on verso: 87."
8b3d50ed53e0bb7d81ccb44caa5a15c1,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/8b3d50ed53e0bb7d81ccb44caa5a15c1.json,https://www.loc.gov/item/2006626059/,http://cdn.loc.gov/service/gmd/gmd388/g3883/g3883l/cw0559800.gif,"Relief shown by line forms. Indicates roads, railroads, drainages, and the names of a few villages. Stamped on verso: Gilbert Thompson. Sun print. Description derived from published bibliography. LC Civil War maps (2nd ed.), 559.8 Available also through the Library of Congress Web site as a raster image."
df6270478310df30710ace30c5a278a3,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/df6270478310df30710ace30c5a278a3.json,https://www.loc.gov/item/74693265/,http://cdn.loc.gov/service/gmd/gmd388/g3880/g3880/ar137900.gif,"[London, 1752]"
6455bbb87e1c05b5bebd4aeef9901297,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/6455bbb87e1c05b5bebd4aeef9901297.json,https://www.loc.gov/item/2007633936/,http://cdn.loc.gov/service/gmd/gmd398/g3984/g3984v/cw0291200.gif,"Index: ""Significant structures."" LC Civil War maps (2nd ed.), 291.2 Description derived from published bibliography. Available also through the Library of Congress Web site as a raster image."
da10851e0cf599e83983234e7dfd1a60,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/da10851e0cf599e83983234e7dfd1a60.json,https://www.loc.gov/item/86691125/,http://cdn.loc.gov/service/gmd/gmd396/g3964/g3964b/cw0396300.gif,[1863]
cc764b95dec79513f7fa8579250939d2,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/cc764b95dec79513f7fa8579250939d2.json,https://www.loc.gov/item/ody0314/,http://cdn.loc.gov/service/gmd/gmd386/g3861/g3861e/cw0013200.gif,Washington Henry S. Graham 1861.
